what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1519047590105
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1519047590106
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1519047590106
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1519047590107
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1519047590108
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1519047590108
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1519047590108
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1519047590109
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1519047590109
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1519047590109
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1519047590110
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1519047590111
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1519047590112
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1519047590112
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1519047590113
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1519047590113
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.4.v201106210700,"org.eclipse.wst.common.emfworkbench.integration",1519047590114
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1519047590114
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1519047590115
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1519047590116
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1519047590116
started,bundle,org.guvnor.tools,5.5.0.Final,"org.guvnor.tools",1519047590117
started,bundle,org.jboss.tools.common,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common",1519047590117
started,bundle,org.jboss.tools.common.model,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.model",1519047590118
started,bundle,org.jboss.tools.common.projecttemplates,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.projecttemplates",1519047590118
started,bundle,org.jboss.tools.common.verification.ui,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.verification.ui",1519047590119
started,bundle,org.jboss.tools.jsf.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.ui",1519047590119
started,bundle,org.jboss.tools.jst.web,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.web",1519047590120
started,bundle,org.jboss.tools.jst.web.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.web.ui",1519047590120
started,bundle,org.jboss.tools.usage,1.0.0.v20101206-2100-H28-Beta2,"org.jboss.tools.usage",1519047590121
started,bundle,org.springframework.ide.eclipse.aop.core,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.aop.core",1519047590122
started,bundle,org.springframework.ide.eclipse.aop.ui,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.aop.ui",1519047590123
started,bundle,org.springframework.ide.eclipse.beans.core,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.beans.core",1519047590123
started,bundle,org.springframework.ide.eclipse.beans.ui,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.beans.ui",1519047590125
started,bundle,org.springframework.ide.eclipse.core,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.core",1519047590126
started,bundle,org.springframework.ide.eclipse.osgi.targetdefinition,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.osgi.targetdefinition",1519047590126
started,bundle,org.springframework.ide.eclipse.ui,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.ui",1519047590127
started,bundle,org.tigris.subversion.clientadapter,1.10.1,"org.tigris.subversion.clientadapter",1519047590127
started,bundle,org.tigris.subversion.subclipse.core,1.10.5,"org.tigris.subversion.subclipse.core",1519047590128
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1519047590128
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1519047590128
started,bundle,org.tigris.subversion.subclipse.ui,1.10.5,"org.tigris.subversion.subclipse.ui",1519047590129
os,sysinfo,,,"win32",1519047590131
arch,sysinfo,,,"x86",1519047590131
ws,sysinfo,,,"win32",1519047590131
locale,sysinfo,,,"fr_FR",1519047590131
processors,sysinfo,,,"4",1519047590131
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1519047590131
java.runtime.version,sysinfo,,,"1.6.0_10-b33",1519047590131
java.specification.name,sysinfo,,,"Java Platform API Specification",1519047590131
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1519047590131
java.specification.version,sysinfo,,,"1.6",1519047590131
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1519047590131
java.version,sysinfo,,,"1.6.0_10",1519047590131
java.vm.info,sysinfo,,,"mixed mode",1519047590131
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1519047590131
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1519047590131
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1519047590131
java.vm.specification.version,sysinfo,,,"1.0",1519047590131
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1519047590131
java.vm.version,sysinfo,,,"11.0-b15",1519047590131
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1519047590169
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1519047591608
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1519047604947
stopped,bundle,org.springframework.ide.eclipse.webflow.ui,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.webflow.ui",1519047605268
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.graph,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.webflow.ui.graph",1519047605269
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.editor,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.webflow.ui.editor",1519047605269
stopped,bundle,org.springframework.ide.eclipse.webflow.core,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.webflow.core",1519047605271
stopped,bundle,org.springframework.ide.eclipse.batch,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.batch",1519047605272
stopped,bundle,org.springframework.ide.eclipse.aop.ui.matcher,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.aop.ui.matcher",1519047605272
stopped,bundle,org.springframework.ide.eclipse.aop.ui,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.aop.ui",1519047605272
stopped,bundle,org.springframework.ide.eclipse.security,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.security",1519047605273
stopped,bundle,org.springframework.ide.eclipse.aop.core,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.aop.core",1519047605273
stopped,bundle,org.springframework.ide.eclipse.beans.ui.autowire,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.beans.ui.autowire",1519047605273
stopped,bundle,org.springframework.ide.eclipse.beans.core.autowire,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.beans.core.autowire",1519047605274
stopped,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1519047605274
stopped,bundle,org.springframework.ide.eclipse.integration,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.integration",1519047605274
stopped,bundle,org.springframework.ide.eclipse.osgi,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.osgi",1519047605275
stopped,bundle,org.springframework.ide.eclipse.beans.ui.editor,2.5.0.201010221000-RELEASE,"org.springframework.ide.eclipse.beans.ui.editor",1519047605275
